"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 16 13:37:55 GMT 2021","Mon Aug 16 13:37:59 GMT 2021","3189","testproject","test_logout","TestLogout","","","test_tc03_logout",""
"passed","Mon Aug 16 13:38:20 GMT 2021","Mon Aug 16 13:38:33 GMT 2021","12753","testproject","test_post","TestPostSuite","","","test_tc07_new_post",""
"passed","Mon Aug 16 13:37:39 GMT 2021","Mon Aug 16 13:37:39 GMT 2021","178","testproject","test_listing_data","TestListingData","","","test_tc05_listing_data",""
"passed","Mon Aug 16 13:39:08 GMT 2021","Mon Aug 16 13:39:10 GMT 2021","2832","testproject","test_registration_ntest5","TestRegistration","","","test_tc01_registration",""
"passed","Mon Aug 16 13:37:43 GMT 2021","Mon Aug 16 13:37:48 GMT 2021","4731","testproject","test_login","TestDefaultSuite","","","test_tc02_login",""
"passed","Mon Aug 16 13:38:39 GMT 2021","Mon Aug 16 13:38:52 GMT 2021","13542","testproject","test_post","TestPostSuite","","","test_tc08_edit_post",""
"passed","Mon Aug 16 13:38:07 GMT 2021","Mon Aug 16 13:38:14 GMT 2021","7240","testproject","test_multiple_pages","TestMultiplePages","","","test_tc06_multiple_pages",""
"passed","Mon Aug 16 13:39:18 GMT 2021","Mon Aug 16 13:39:21 GMT 2021","2503","testproject","test_save_data","TestSaveData","","","test_tc10_save_data",""
"passed","Mon Aug 16 13:37:18 GMT 2021","Mon Aug 16 13:37:31 GMT 2021","13074","testproject","test_cookies","TestCookies","","","test_tc04_cookies_accept",""
"passed","Mon Aug 16 13:39:31 GMT 2021","Mon Aug 16 13:40:00 GMT 2021","28845","testproject","test_upload_data","TestUploadData","","","test_tc11_upload_data",""
"passed","Mon Aug 16 13:38:58 GMT 2021","Mon Aug 16 13:39:04 GMT 2021","6162","testproject","test_post","TestPostSuite","","","test_tc09_del_post",""
