"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 16 14:26:28 GMT 2021","Mon Aug 16 14:26:40 GMT 2021","12680","testproject","test_post","TestPostSuite","","","test_tc07_new_post",""
"passed","Mon Aug 16 14:27:26 GMT 2021","Mon Aug 16 14:27:28 GMT 2021","2470","testproject","test_save_data","TestSaveData","","","test_tc10_save_data",""
"passed","Mon Aug 16 14:25:27 GMT 2021","Mon Aug 16 14:25:40 GMT 2021","12948","testproject","test_cookies","TestCookies","","","test_tc04_cookies_accept",""
"passed","Mon Aug 16 14:27:06 GMT 2021","Mon Aug 16 14:27:12 GMT 2021","6150","testproject","test_post","TestPostSuite","","","test_tc09_del_post",""
"passed","Mon Aug 16 14:26:04 GMT 2021","Mon Aug 16 14:26:07 GMT 2021","3175","testproject","test_logout","TestLogout","","","test_tc03_logout",""
"passed","Mon Aug 16 14:27:39 GMT 2021","Mon Aug 16 14:28:07 GMT 2021","28824","testproject","test_upload_data","TestUploadData","","","test_tc11_upload_data",""
"passed","Mon Aug 16 14:25:51 GMT 2021","Mon Aug 16 14:25:56 GMT 2021","4625","testproject","test_login","TestLogin","","","test_tc02_login",""
"passed","Mon Aug 16 14:25:48 GMT 2021","Mon Aug 16 14:25:48 GMT 2021","108","testproject","test_listing_data","TestListingData","","","test_tc05_listing_data",""
"passed","Mon Aug 16 14:27:15 GMT 2021","Mon Aug 16 14:27:18 GMT 2021","2774","testproject","test_registration_ntest5","TestRegistration","","","test_tc01_registration",""
"passed","Mon Aug 16 14:26:46 GMT 2021","Mon Aug 16 14:27:00 GMT 2021","13526","testproject","test_post","TestPostSuite","","","test_tc08_edit_post",""
"passed","Mon Aug 16 14:26:15 GMT 2021","Mon Aug 16 14:26:22 GMT 2021","7197","testproject","test_multiple_pages","TestMultiplePages","","","test_tc06_multiple_pages",""
