"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 16 14:10:55 GMT 2021","Mon Aug 16 14:11:08 GMT 2021","12594","testproject","test_post","TestPostSuite","","","test_tc07_new_post",""
"passed","Mon Aug 16 14:09:55 GMT 2021","Mon Aug 16 14:10:08 GMT 2021","12645","testproject","test_cookies","TestCookies","","","test_tc04_cookies_accept",""
"passed","Mon Aug 16 14:11:53 GMT 2021","Mon Aug 16 14:11:55 GMT 2021","2731","testproject","test_save_data","TestSaveData","","","test_tc10_save_data",""
"passed","Mon Aug 16 14:10:19 GMT 2021","Mon Aug 16 14:10:24 GMT 2021","4523","testproject","test_login","TestLogin","","","test_tc02_login",""
"passed","Mon Aug 16 14:12:05 GMT 2021","Mon Aug 16 14:12:34 GMT 2021","28449","testproject","test_upload_data","TestUploadData","","","test_tc11_upload_data",""
"passed","Mon Aug 16 14:10:42 GMT 2021","Mon Aug 16 14:10:49 GMT 2021","7167","testproject","test_multiple_pages","TestMultiplePages","","","test_tc06_multiple_pages",""
"passed","Mon Aug 16 14:11:14 GMT 2021","Mon Aug 16 14:11:27 GMT 2021","13456","testproject","test_post","TestPostSuite","","","test_tc08_edit_post",""
"passed","Mon Aug 16 14:10:16 GMT 2021","Mon Aug 16 14:10:16 GMT 2021","101","testproject","test_listing_data","TestListingData","","","test_tc05_listing_data",""
"passed","Mon Aug 16 14:10:31 GMT 2021","Mon Aug 16 14:10:35 GMT 2021","3141","testproject","test_logout","TestLogout","","","test_tc03_logout",""
"passed","Mon Aug 16 14:11:42 GMT 2021","Mon Aug 16 14:11:45 GMT 2021","2666","testproject","test_registration_ntest5","TestRegistration","","","test_tc01_registration",""
"passed","Mon Aug 16 14:11:33 GMT 2021","Mon Aug 16 14:11:39 GMT 2021","6116","testproject","test_post","TestPostSuite","","","test_tc09_del_post",""
